Date,Revenue,Display,SEM,SEMBrand,SEMCard,SEMPBook,SEMOther,Partners,Affiliate,FB,TV,TVImpression,DM,DM1,DM30,Display_Last_Week,SEM_Last_Week,SEMBrand_Last_Week,SEMCard_Last_Week,SEMPBook_Last_Week,SEMOther_Last_Week,Partners_Last_Week,Affiliate_Last_Week,FB_Last_Week,TV_Last_Week,TVImpression_Last_Week,Q2,Q3,Q4,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Y2012,Y2013,Weekday1,Weekday2,Weekday3,Weekday4,Weekday5,Weekday6,Kodak,SEM_BRAND_Impression,PBookRevenue,CardRevenue ,OtherRevenue,Affiliates_MTA,Direct_Mail_MTA,SEM_MTA,Partners_MTA,Affiliates_LTA,Direct_Mail_LTA,SEM_LTA,Partners_LTA,FB_LTA,Display_LTA,FB_MTA,Display_MTA
4/29/2011,538493.25,17998.35423,24805.2129,1991.14661,17428.61919,4546.698963,838.7481371,13631,5766.10412,0,0,0,80579.69787,87771.94968,196250.6288,22842.31107,22427.05104,1917.566567,14938.04459,4577.02925,994.4106385,16004,2594.09517,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,34216,271849.03,84556.91,182087.31,12564.31,16807.45,43423.21,72089.47,20824.43,9946.51,45350.36,55933.11,0,16844.97,0,13371.26
4/30/2011,673604.91,20694.39194,21290.02387,2192.648745,13636.20511,4529.46444,931.7055763,15449,2801.852176,0,0,0,80579.69787,84175.82378,188463.475,22144.5289,23572.59712,1971.146945,15945.11415,4671.80312,984.5329059,16057.57143,3281.882951,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34297,377456.73,92501.44,203646.74,15377.76,37514.65,57830.37,86847.64,23768.82,18146.36,66395.4,71472.72,0,51982.28,0,31401.35
5/1/2011,1189196.48,22990.62903,28887.2483,3024.972373,18875.63208,5731.960328,1254.683517,23281,4231.517549,0,0,0,80579.69787,80579.69787,188463.475,22044.20496,24761.67377,2097.32334,16858.27914,4830.761627,975.3096689,16635.28571,3566.408387,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,45458,668407.42,150769.09,370019.97,29775.15,5858.52,105172.94,137931.03,42912.4,4151.1,123695.17,109241.31,0,82302.88,0,38117.72
5/2/2011,830368,20501.81782,39254.87049,3403.278182,27429.79613,7022.255967,1399.540211,19341,5056.289404,0,0,0,80579.69787,80579.69787,184867.3491,22214.35198,26895.35024,2313.469997,18496.59245,5070.949611,1014.338173,18276,3974.102186,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,51365,373568.19,144403.35,312396.46,17909.21,5450.72,83406.77,102098.21,33182.74,3606.52,97732.32,83299.3,0,81876.89,0,36565.55
5/3/2011,969224.98,21724.24485,43587.44468,3321.007394,32917.31197,5658.389171,1690.736145,20578,3995.216763,0,0,0,80579.69787,80579.69787,181271.2232,21362.71983,28864.71028,2460.050453,20019.17935,5336.77322,1048.707259,18381.85714,4235.297319,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,49778,460758.3,145456.84,363009.84,21585.75,6299.87,86231.72,114636.81,35566.31,3817.41,98264.75,91962.21,0,86418.19,0,42122.79
5/4/2011,584422.91,20294.59132,33788.44984,2653.688336,23875.43287,5758.841722,1500.486911,17331,3604.727433,0,0,0,80579.69787,80579.69787,177675.0973,20951.85517,30518.41372,2616.413053,21258.77263,5460.377208,1182.850829,18674.71429,4380.101606,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,41716,209302.34,139445.85,235674.72,13062.81,6201.69,58390.14,72498.3,19835.8,5026.68,72343.59,61313.27,0,63394.78,0,31803.49
5/5/2011,468457.13,23590.32996,28666.98796,2200.843867,20299.43865,4916.479809,1250.225638,15752,2664.086081,0,0,0,80579.69787,80579.69787,174078.9714,20788.5858,31223.19768,2677.247282,21821.18843,5494.974283,1229.787693,18479.85714,4616.92374,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,37503,183229.74,114490.01,170737.38,10636.49,4166.64,48901.62,64063.27,17089.1,3120.17,60033.49,54045.09,0,53533.57,0,23748.91
5/6/2011,416190.21,23769.2983,23282.4882,1819.480564,16399.05594,4043.406869,1020.544832,13599,2575.587331,0,0,0,80579.69787,80579.69787,170482.8455,21113.47988,31468.60543,2683.940787,22066.06228,5452.012914,1266.589448,17909,4017.113361,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,33453,182750,99021.86,134418.35,11355.46,5061.03,43071.52,53513.25,16654.73,3257.09,51017.47,45036.84,0,38215.17,0,19040.15
5/7/2011,385665.2,24429.70195,20482.47095,1606.025386,13778.2823,4232.28668,865.8765919,13511,2075.615012,0,0,0,80579.69787,80579.69787,166886.7196,21937.90046,31251.07333,2659.417066,21918.98182,5380.114044,1292.560405,17904.42857,3561.325248,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28698,169612.44,88384.86,127667.9,7711.93,3459.57,40244.72,54571.91,14531.78,2477.66,45964.96,45128.62,0,38337.9,0,17857.63
5/8/2011,778617.45,26402.5401,22455.12712,2084.927698,14982.35349,4429.12515,958.7207846,15018,2285.457408,0,0,0,80579.69787,80579.69787,163290.5937,22471.51618,31135.70863,2575.613729,21939.27856,5337.660078,1283.156264,17627.57143,3457.577082,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,38287,265685.79,119744.57,393187.09,17397.11,3053.02,64046.15,87354.75,26049.58,2232.25,71383.91,63286.77,0,57734.8,0,32453.11
