"Channels","planMonths","beta_20130101","beta_20130201","beta_20130301","beta_20130401","beta_20130501","beta_20130601","beta_20130701","beta_20130801","beta_20130901","beta_20131001","beta_20131101","beta_20131201","beta_20140101","beta_20140201","beta_20140301","beta_20140401","beta_20140501","beta_20140601","beta_20140701","beta_20140801","beta_20140901","beta_20141001","beta_20141101","beta_20141201","beta_20150101","beta_20150201","beta_20150301","beta_20150401","beta_20150501","beta_20150601","beta_20150701","beta_20150801"
"SEM_LTA",2,0.5,0.5,0.5,0.5,0.5,0.5,0.5,-0.0829708993632026,-0.0829701207173432,0.136365503942521,-0.0829707758913259,-0.082970808815282,-0.0829713298697011,0.136362588493647,-0.0829705875847801,-0.0829717971997896,-0.0829718279402882,-0.0829772340158538,-0.0829713109057266,-0.0343636720089913,-0.0343633590967448,-0.0829713769493554,-0.0343624492111799,0.0102946204494354,0.0102945212172224,0.010295180296828,0.224360045840047,0.136367331345007,0.224359533511597,0.224359816599893,0.224361052221232,0.22436104464529
"Display_LTA",2,0.5,0.5,0.5,0.5,0.5,0.5,0.5,-17.1727923327949,0.301187142912922,0.543402640836078,0.351596795506684,0.543401732348621,0.543402377191796,0.543403053175985,0.543401748920516,0.543402299023164,0.35159584271557,0.351595765066054,0.351595990413846,0.351595757425704,0.351595536512015,0.351595083857763,0.351595673562388,0.35159525626746,0.351594829547631,0.351594998936031,0.351595098721486,0.351593626855493,0.351594594756009,0.351595148409126,0.31133169607027,0.311329618789076
"FB_LTA",2,-68.0896113709311,-2.48217133149059,0.192012476408147,0.202331686276147,0.19612059112186,0.197936642785556,0.196647720826074,0.197238272678166,0.197326440375031,0.574840892552375,0.574840779613813,0.574841147176357,0.574840818494556,0.574840955202897,0.574840222958061,0.574840965925182,0.574841120688977,0.57484143972506,0.574840995245276,0.574841254618309,0.57484085606391,0.574841048924783,0.574840373642282,0.511806850716822,0.527393083172395,0.519038331203673,0.538172844584237,0.538173695799163,0.538172694469728,0.538174156980174,0.538173378007434,0.538173446862507
"Affiliates_LTA",2,0.5,0.5,0.5,0.5,0.5,0.5,0.5,-0.0533718464934326,-0.0533716778968379,-0.0533719823200984,-0.053372159529306,-0.0533720826170846,-0.0533716228084427,-0.0533716122310951,-0.0533712224559628,-0.0533702552493721,-0.0533713749619768,-0.0533697560330046,0.0265226068887054,0.026523739543429,-0.0533717044152456,-0.0533725633858754,-0.0533719214502698,-0.0533720795311385,-0.0533723618620073,-0.0533721643054502,-0.0238541829816786,-0.0108373568526619,-0.0108376471128922,-0.0423964380872393,-0.0108388172907849,-0.0533715621830523
"Partners_LTA",2,0.5,0.5,0.5,0.5,0.5,0.5,0.5,8.68400043927991,7.62250387659023,7.62249631654389,5.99561370156807,5.99561291368109,5.99561282706274,1.74081134291457,1.74081198084844,1.5463083085428,1.54630653045831,1.54630743031556,0.785087528379804,0.785086733731115,0.78508607663306,0.717261149231219,0.785086499708672,0.829681639025004,0.785086711658198,0.643398998235731,0.643398717424755,0.560770056188569,0.560770437620844,0.361696092525059,0.361693613773484,0.361693716351908
"SEM_MTA",2,0.518306473401934,0.518307323626065,0.518307883202101,0.518306739809787,0.495319704507596,0.495319393246426,0.495319358198028,0.495319461476136,0.495319100544637,0.495318655009109,0.495317799546871,0.49531824237222,0.495317984573308,0.495318990491015,0.495319438780584,0.495317645450032,0.495318102789423,0.495319097915499,0.495317261440656,0.495319165655013,0.495319058037334,0.495318595358521,0.468229716651679,0.468229635035963,0.468229446891966,0.468229959214232,0.374964151677468,0.32048521999058,0.362806282887234,0.468228970185166,0.320484817874782,0.320484954270506
"Display_MTA",2,0.343393393842346,0.343392739005983,0.343393099805511,0.34339297241722,0.343392959101636,0.24030966090592,0.310577098415662,0.277523602794911,0.196526179712628,0.186346354243371,0.186347114882962,0.18634669808819,0.1965276537822,0.196527555769933,0.186346761534952,0.186346755003284,0.186346282915485,0.186346067565465,0.186346384388068,0.186346717209011,0.186346288066169,0.186346455183412,0.186346864342126,0.186346441593885,0.186346358636657,0.186346718528089,0.186346417464788,0.186346155857098,0.186346365311105,0.186346364901091,0.186345645596554,0.0478238817952475
"FB_MTA",2,0.00000028784107906236,0.000000401191605142254,0.354629367114616,0.544110912219959,0.441759548424741,0.452749110858186,0.444062469727177,0.448597722947614,0.449459057691988,0.552808301602955,0.552807644859254,0.552808106543279,0.5528080609996,0.552808122172506,0.552807309096037,0.552808242720356,0.552808371676975,0.552808339085561,0.552808274681049,0.552808128999248,0.552807899761321,0.552808605337791,0.552807387290699,0.520425047748312,0.520424918283967,0.520425253805347,0.552805429523986,0.552808243260279,0.552808651194397,0.552808646416536,0.552808265480268,0.552808309222795
"Affiliates_MTA",2,0.254843927471889,0.254843609780348,0.254843645288335,0.232582337817042,0.254843768155221,0.254844081917978,0.254843426507628,0.0945042283537974,0.0945038791319028,0.0945032569128824,0.0887739280548485,0.0945006149042523,0.0945041681699536,0.0945039111819445,0.0945042500042334,0.0945042486545536,0.0945043033336848,0.0945041965925728,0.1458315928868,0.251095025665264,0.0945040416076269,0.0887726513419237,0.0945040562022602,0.0945029668851305,0.0945001514663865,0.0945041917863517,0.0887708699353405,0.0559619595550855,0.055961894596243,0.0559652790159065,0.0887720433037489,0.0559623510562558
"Partners_MTA",2,1.05768617312974,1.05768439864045,1.0576835486065,1.0576845814864,0.918237270701799,0.518875501649617,0.518874325576297,0.518874678728969,0.518874892245697,0.518874625178379,0.518874689091698,0.518874558694074,0.518874458006854,0.518875932950633,0.518875785772558,0.531832467916236,0.518874996392193,0.518875165457428,0.531832472030894,0.518876277665444,0.518874815888156,0.518874399125299,0.518874938783213,0.531832664382742,0.518875418761234,0.518874512089833,0.509166577251569,0.50916567723921,0.509165490242923,0.509162999175014,0.408387819062141,0.365218211115839
"SEM_LTA",3,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,-0.52702630389591,0.116186103527818,0.116185873444599,-0.95909826793106,-0.959100136758483,-0.959099187465941,-0.854682241559443,-0.959099341828126,-0.854681772599755,-0.854680639306372,0.0568785735459038,0.0568796792098576,0.056879626427528,0.0568786483762774,0.0302319005308859,0.0302315759960302,0.0302319911390558,0.0302318275165619,0.0302319495323168,0.030232272772362,0.030232457755296,0.0568763720072877,0.0568792929033393
"Display_LTA",3,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.360607423757078,0.343993174237681,0.343992333371112,0.343992707158902,0.343992574933697,0.343992143928588,0.343992844512369,0.343992881664257,0.343992329726614,0.343992654644808,0.343992712733113,0.343992225391434,0.34399255963166,0.343992525085951,0.343992601877986,0.343991239256914,0.343992488946162,0.343992613263567,0.343992082298535,0.343991755097162,0.343990034755459,0.343992348908301,0.20847164201013
"FB_LTA",3,-151.585757161117,-120.761541879178,-2.86761525583543,0.212634261233927,0.237538093387135,0.237544089186018,0.23754394445505,0.237544441802545,0.237543891004664,0.832333147502499,0.732392153587956,0.548702660107681,0.65029629451674,0.650296678318411,0.650296050595715,0.5487061980227,0.548702121911138,0.650292811460923,0.650295193231144,0.650290647867965,0.650293051302653,0.650296060844192,0.548702424858455,0.523921256562656,0.49905954181825,0.499060446885757,0.49906092123777,0.499059260838699,0.499058826755161,0.499059661591068,0.499059327276571,0.499059531874309
"Affiliates_LTA",3,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,-0.241331362796586,-0.241331067287478,-0.241329859507463,-0.209411735206009,0.479274508348076,0.479274496227564,0.479274883332485,0.479273963657536,0.479273942412969,0.417116428823684,0.479273915950964,0.479274456214122,0.417116382942824,-0.137822641457925,0.252642686455195,0.252642413267522,0.252642767438975,0.107433149257145,0.048532128268407,0.0667260310619195,0.0667259088760829,0.0495602166301219,0.0667223662504864
"Partners_LTA",3,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,4.51014323536325,4.51014611400862,4.5101386245493,4.51014221338325,1.7062147210007,1.70621397413537,1.70621440553947,1.64993458385494,1.63648379242184,1.63648183800449,1.6364810952263,1.636478131204,1.44830198517934,1.44830052916856,1.37069145536421,1.37069101821081,1.00054767043965,1.00054694370346,1.00054623442779,0.72730629463341,0.727306068084993,0.69405270764297,0.694051473206669
"SEM_MTA",3,0.421001617054009,0.42100178277907,0.421002051374232,0.421001751644047,0.421001186786059,0.421001812527242,0.421001451831901,0.153804242107552,0.153803719069007,0.1538038327946,0.1534398380965,0.153439562652925,0.153438602399782,0.0665352032881321,0.153438483189081,0.153437923944374,0.153438054477235,0.0665346691834766,0.0665351776926436,0.0665336623198195,0.153438729196909,0.153438456865118,0.14283972926185,0.0665334123241011,0.0665330924623429,0.0665334060335334,0.0665331107754349,0.0665338127473069,0.0677869941464143,0.06778685781695,0.0677881188368892,0.0677866158825883
"Display_MTA",3,0.581110583945975,0.581110639891844,0.431760480023692,0.431762449229657,0.43175670838248,0.431756774824546,0.431756377923579,0.431756115103803,0.407972872005965,0.00769603599214835,0.234403496034933,0.203760554473114,0.234402445028674,0.203757949797637,0.203758148321324,0.20375802275044,0.203757795646172,0.203757503331526,0.203757071767564,0.203757478242274,0.203757502629818,0.203757904007365,0.20375726749969,0.203757609959867,0.20375791836972,0.203757690937079,0.203757838266692,0.203757745076873,0.203757844239314,0.203757897794084,0.203759302971842,0.203757558229264
"FB_MTA",3,0.000000541568957680146,-0.000000110534777596735,0.000000119242960071167,0.0951292951125083,0.289110036939023,0.345128257631183,0.346094554855383,0.344241333735065,0.340955198509413,0.889208538453341,0.672671847443507,0.530069355135175,0.559622917333977,0.597586567043702,0.580892788395713,0.530069894766536,0.573393323431278,0.573394223509606,0.573394699582029,0.573394575064319,0.573393979584954,0.573394788177415,0.573393653932099,0.530071591196447,0.495757453550663,0.495806885308754,0.49576269655869,0.495757479339485,0.496708226886412,0.508994662483443,0.508994872696947,0.508993982287368
"Affiliates_MTA",3,0.433302725655328,0.492932551703736,0.49293267266539,0.492932130330453,0.43330231838422,0.21649118080316,0.200793515391753,-0.0509913753312407,-0.354027090339836,-0.377901913503204,-0.354028476886042,-0.354027427285667,-0.354026867240234,-0.322060724136872,-0.073066065592355,0.0797512925449529,0.0823143186076706,0.0823135344384154,0.0983140805939668,0.200793673913175,0.200793495357485,0.0983106073240611,-0.241949475610469,-0.0106665205891661,0.0363459141919079,0.000788097617891577,0.0825779824761605,0.105231375785336,0.0983139904112368,0.0961140869558348,0.10522972979069,0.105231138609739
"Partners_MTA",3,1.28565664448498,1.28565799139784,0.878608597590844,0.27279236118014,0.272792035410498,0.272793085608574,0.272791985809194,0.272793092093287,0.490832720545049,0.490833976959977,0.490833660831763,0.490834456831037,0.490834540240681,0.490834704273183,0.490834210510048,0.490834871029341,0.490833751497832,0.490833804397383,0.490828872364112,0.490834278847875,0.490833943841212,0.490834161346567,0.477771012392881,0.490833732771791,0.49083368657859,0.490833399067573,0.477769373965442,0.490833568903386,0.477769372395754,0.477774336997097,0.477769208714035,0.368497910372039
